Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
IN,Parks,3,3,4,1,5,6,4,1,2,3,1,3,3,-1,1,3,3,1,3,-0,2,2,4,-4,-2,2,-0,-6,-6,-1,-2,-6,-7,-13,-23,-58,-35,-44,-53,-51,-52,-54,-57,-51,-50,-52,-51,-51,-53,-56
IN,Residential,0,0,0,1,-1,5,1,1,0,0,-1,-0,0,0,1,0,0,0,0,1,0,0,3,11,1,0,1,4,3,3,3,4,5,7,8,21,20,25,30,30,31,29,22,30,29,29,30,30,28,21
IN,Retail & recreation,2,-1,0,-0,1,-4,-2,-2,-1,-1,0,-1,0,-2,1,-0,-1,0,-1,-1,0,2,-1,-19,-5,-3,-5,-11,-11,-8,-11,-12,-16,-22,-34,-78,-54,-68,-77,-76,-77,-78,-77,-76,-75,-76,-76,-76,-77,-77
IN,Transit stations,2,1,2,1,5,-4,-2,-0,1,1,3,1,1,0,0,-0,0,3,2,3,5,3,-6,-22,-1,-0,-2,-8,-7,-6,-9,-10,-14,-18,-25,-70,-52,-64,-73,-73,-73,-73,-71,-74,-73,-73,-74,-73,-73,-71
IN,Workplaces,0,4,3,4,4,-19,-2,2,4,1,3,4,5,8,3,5,4,7,5,5,7,6,-12,-44,-5,-0,0,-6,2,-4,-8,-8,-11,-15,-18,-49,-50,-65,-72,-70,-70,-66,-47,-68,-68,-68,-69,-67,-61,-43
IT,Grocery & pharmacy,2,1,1,-1,1,1,3,16,23,5,-5,-3,-2,-2,-5,-7,-1,1,0,0,1,3,-1,-2,-14,-23,-28,-43,-60,-37,-41,-43,-44,-40,-52,-85,-45,-48,-51,-52,-46,-54,-85,-47,-42,-41,-40,-38,-48,-82
IT,Parks,26,7,16,11,18,19,30,23,22,20,-6,-1,11,2,-30,-26,-9,8,-12,-8,2,1,-24,-32,-32,-61,-64,-78,-81,-67,-68,-71,-74,-77,-85,-91,-81,-80,-82,-84,-82,-86,-90,-79,-78,-77,-77,-78,-84,-90
IT,Residential,-2,-0,-0,-0,-0,-1,-1,-0,4,5,6,6,5,3,4,5,4,4,7,8,6,6,11,16,19,24,28,25,22,27,29,30,31,32,26,24,32,32,34,35,36,27,24,32,33,33,34,35,27,24
IT,Retail & recreation,3,-0,3,0,2,1,-1,-5,-4,-6,-13,-10,-8,-10,-19,-13,-7,-7,-12,-15,-19,-32,-30,-43,-52,-70,-75,-83,-90,-75,-77,-79,-79,-80,-86,-95,-80,-81,-83,-84,-83,-87,-94,-81,-90,-90,-90,-85,-89,-95
IT,Transit stations,11,3,4,3,5,5,8,6,-15,-18,-23,-22,-20,-16,-26,-25,-21,-19,-28,-29,-24,-27,-42,-51,-57,-67,-71,-76,-80,-74,-76,-77,-78,-78,-80,-87,-81,-81,-82,-83,-82,-82,-87,-81,-79,-79,-79,-79,-80,-86
IT,Workplaces,1,1,1,1,1,0,-0,1,-14,-15,-12,-12,-12,-9,-5,-9,-8,-8,-16,-17,-15,-10,-24,-31,-37,-47,-53,-58,-55,-58,-61,-61,-63,-63,-63,-63,-68,-69,-70,-72,-71,-65,-63,-69,-70,-70,-70,-69,-63,-62
JP,Grocery & pharmacy,-6,1,2,2,4,2,1,3,4,7,3,6,14,9,9,3,9,-2,3,2,2,-4,2,-3,4,5,3,-4,5,-0,4,3,6,6,5,1,0,3,8,13,3,1,-7,4,7,-5,6,6,6,2
JP,Parks,-35,-5,1,8,4,7,-10,16,54,-0,-5,-4,-4,-22,-1,-15,11,-21,-8,5,-8,-35,11,-28,13,16,10,-39,9,-7,14,20,17,40,34,18,11,14,31,26,-9,-23,-25,-2,9,-29,13,26,26,3
JP,Residential,2,1,1,0,0,1,2,-0,14,1,1,1,2,4,4,4,4,5,4,5,5,6,4,6,3,3,5,7,3,4,4,3,2,17,3,3,3,4,2,3,6,7,7,5,5,7,6,7,8,8
JP,Retail & recreation,-9,-2,1,-0,1,-1,-5,1,18,0,-4,-3,-2,-10,-10,-10,-2,-12,-9,-9,-12,-17,-7,-9,-3,-3,-5,-14,-7,-7,-1,-3,4,7,-6,-9,-4,0,2,0,-10,-18,-26,-7,-4,-20,-12,-14,-21,-25
JP,Transit stations,-10,-1,-2,-3,-3,-2,-3,2,-27,-2,-5,-7,-10,-21,-23,-15,-15,-19,-18,-18,-24,-31,-15,-18,-16,-15,-17,-27,-21,-15,-15,-14,-10,-34,-15,-18,-13,-13,-11,-13,-19,-33,-41,-20,-20,-25,-23,-25,-35,-43
JP,Workplaces,-2,0,-0,0,0,0,-1,-0,-55,1,1,0,1,3,1,-2,-2,-4,-4,-4,-4,-5,-3,-5,-4,-4,-4,-7,-3,-3,-4,-4,-4,-54,-7,-3,-3,-4,-4,-5,-7,-8,-9,-8,-7,-10,-10,-11,-12,-13
KR,Grocery & pharmacy,-0,-6,-3,-1,-3,-4,-6,-18,6,-13,-7,-10,-17,-10,-8,-1,-7,-10,-11,-8,-7,-14,1,-11,-3,-5,-5,1,1,1,-5,-1,-13,-2,4,-8,6,0,1,-8,-4,2,11,4,2,0,-2,1,5,14
KR,Parks,-31,-17,-5,14,7,-10,-32,-12,6,-38,5,1,-38,-13,-17,10,2,-7,-2,1,-16,34,16,-32,23,19,2,4,-3,23,12,47,-18,17,31,52,47,40,61,3,4,16,51,60,54,44,44,36,25,46
KR,Residential,4,5,2,2,2,5,9,8,8,10,9,9,13,12,11,9,8,10,9,10,11,9,8,9,8,8,9,9,9,8,6,7,9,8,7,7,7,5,7,8,10,8,6,7,5,7,7,7,7,6
KR,Retail & recreation,-11,-7,-1,-5,-7,-15,-26,-31,-21,-33,-29,-30,-37,-38,-41,-23,-24,-30,-28,-27,-32,-27,-19,-27,-22,-23,-24,-25,-28,-17,-19,-19,-28,-20,-21,-20,-15,-16,-18,-25,-23,-23,-19,-13,-11,-18,-18,-18,-19,-17
KR,Transit stations,-15,-6,-3,-4,-6,-10,-24,-25,-15,-26,-22,-24,-30,-32,-36,-20,-21,-25,-25,-22,-29,-24,-17,-25,-18,-20,-20,-22,-29,-16,-17,-16,-25,-17,-18,-17,-13,-13,-14,-21,-20,-20,-17,-12,-10,-15,-15,-13,-16,-14
KR,Workplaces,-3,0,2,1,1,-0,-4,-9,-6,-10,-11,-10,-12,-10,-16,-8,-9,-11,-9,-9,-8,-14,-6,-9,-8,-7,-7,-5,-12,-6,-6,-7,-7,-6,-5,-12,-5,-6,-8,-7,-8,-7,-12,-6,-5,-8,-6,-6,-8,-13
MX,Grocery & pharmacy,6,4,-1,0,-1,-2,-0,1,-0,-2,-1,1,6,8,9,6,3,4,3,0,2,3,-6,0,2,4,6,10,7,5,5,3,1,-3,-7,-13,-14,-16,-16,-17,-17,-14,-19,-15,-15,-13,-12,-11,-11,-19
MX,Parks,7,3,3,2,2,-1,7,8,6,7,3,-0,3,5,7,2,2,2,3,-0,4,10,-8,2,2,3,3,6,6,-7,-8,-14,-16,-22,-32,-37,-30,-33,-36,-36,-37,-39,-46,-36,-37,-39,-41,-43,-46,-52
MX,Residential,-1,-2,-2,-1,-1,-1,-0,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-1,-1,-0,-0,7,-2,-1,-2,-1,-1,-1,13,2,6,7,9,9,8,12,14,16,16,17,12,11,15,16,18,19,21,16,13
MX,Retail & recreation,7,2,0,-0,0,-2,0,2,-2,-2,-3,1,3,6,6,1,1,1,2,-1,1,3,-11,-2,-1,1,2,2,0,-11,-7,-13,-17,-23,-31,-37,-31,-35,-37,-37,-39,-40,-45,-35,-35,-37,-47,-56,-57,-62
MX,Transit stations,6,5,2,3,3,4,4,7,4,2,1,2,6,5,7,4,2,3,3,3,2,4,-17,3,2,3,5,4,-4,-30,-9,-17,-22,-26,-29,-33,-37,-41,-44,-46,-47,-43,-47,-47,-48,-50,-52,-52,-48,-51
MX,Workplaces,2,11,9,8,7,11,4,2,8,6,6,7,12,6,3,10,9,9,8,12,6,3,-16,9,8,8,5,3,1,-54,-3,-10,-14,-14,-7,-10,-29,-34,-36,-37,-34,-18,-20,-38,-41,-44,-46,-43,-27,-27
SA,Grocery & pharmacy,-2,-4,-3,-4,-4,-3,-4,-4,-6,-3,-1,5,6,6,5,3,3,2,3,2,2,2,2,3,0,0,-1,-0,4,2,-5,-8,-12,-18,-16,-18,-25,-22,-19,-22,-29,-24,-24,-26,-26,-26,-26,-32,-28,-24
SA,Parks,0,3,3,8,-3,4,-3,3,5,2,-3,-3,3,-2,2,-0,-0,2,-2,-1,-9,-2,0,4,4,-12,-17,-14,-8,-19,-25,-29,-42,-59,-50,-43,-51,-51,-51,-61,-74,-59,-49,-51,-52,-52,-61,-74,-61,-52
SA,Residential,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,5,5,5,7,6,5,7,9,11,13,16,14,14,18,21,22,21,26,21,19,23,22,22,22,26,21,20,23
SA,Retail & recreation,-5,-8,-7,-7,-5,-6,-9,-7,-9,-6,-5,2,3,1,1,-2,-1,-1,1,-1,-4,-4,-8,-5,-7,-10,-16,-16,-14,-29,-35,-38,-41,-50,-49,-49,-58,-56,-54,-57,-65,-56,-54,-56,-55,-56,-57,-66,-58,-55
SA,Transit stations,-5,-7,-6,-4,-3,-13,-8,-7,-8,-3,-3,-2,-10,-6,-6,-8,-8,-6,-9,-17,-16,-18,-21,-19,-21,-25,-31,-28,-34,-43,-47,-50,-56,-62,-69,-69,-72,-73,-73,-76,-82,-77,-75,-75,-74,-74,-77,-83,-78,-76
SA,Workplaces,4,4,4,3,3,-4,0,4,4,3,-1,3,-3,2,5,4,4,4,4,-3,2,4,-8,-9,-9,-9,-5,-0,-11,-19,-24,-27,-31,-21,-20,-37,-42,-43,-44,-46,-38,-31,-45,-46,-46,-46,-46,-40,-34,-47
SE,Grocery & pharmacy,-7,-3,0,1,1,0,-1,0,0,9,2,4,2,4,-2,2,2,-1,3,1,4,-2,0,1,4,11,8,9,-2,3,0,-3,-2,-5,-5,-9,-8,-7,1,-2,-5,-4,-10,-10,-7,-5,-8,-7,-5,-9
SE,Parks,-30,-3,13,26,-1,22,-10,23,24,8,4,10,16,8,-7,10,5,-2,8,24,36,-0,8,3,10,-17,-4,59,-15,11,2,1,40,11,66,57,8,22,25,48,43,52,43,8,27,27,-6,6,57,69
SE,Residential,2,2,1,1,1,1,1,-0,1,1,1,1,1,-0,1,1,1,1,1,1,0,1,1,1,2,4,6,3,5,8,9,11,11,12,6,5,11,11,11,11,11,6,5,11,11,11,13,13,6,6
SE,Retail & recreation,-10,-4,0,3,1,5,0,2,2,8,5,7,7,8,-1,1,0,-2,0,2,5,1,-2,-4,-4,-12,-13,-17,-25,-19,-24,-26,-22,-24,-26,-26,-25,-25,-19,-18,-19,-24,-24,-22,-22,-22,-27,-25,-26,-25
SE,Transit stations,-11,-6,-4,-3,-6,-2,-2,0,-3,-3,-5,-2,-1,5,-6,-3,-4,-5,-4,-1,6,-6,-5,-6,-7,-16,-19,-13,-30,-25,-32,-37,-35,-37,-28,-33,-38,-37,-36,-35,-35,-29,-36,-39,-37,-38,-43,-41,-32,-37
SE,Workplaces,-5,-6,-5,-5,-6,-7,-3,-1,-4,-4,-4,-5,-6,0,-2,-2,-2,-2,-2,-2,0,-1,-0,0,-1,-4,-10,-6,-10,-17,-21,-27,-28,-28,-13,-15,-27,-28,-28,-28,-29,-15,-18,-29,-29,-29,-30,-31,-16,-18
TR,Grocery & pharmacy,6,5,6,3,2,0,1,5,3,6,6,4,3,-2,10,7,9,7,8,10,12,15,8,7,21,19,14,10,5,13,14,1,-3,-6,-10,-20,-13,-21,-22,-20,-21,-27,-39,-24,-27,-25,-27,-22,-30,-40
TR,Parks,14,10,11,6,2,-8,-10,21,7,12,15,7,6,-16,35,18,23,16,10,17,34,68,24,4,15,25,11,10,3,-13,-19,-29,-28,-27,-32,-33,-32,-39,-38,-32,-40,-57,-58,-39,-45,-47,-46,-47,-60,-61
TR,Residential,0,-2,-2,-2,-1,0,1,0,-1,-2,-2,-1,-1,2,-0,-2,-3,-2,-2,-2,-2,-3,-3,-2,-2,-2,-0,1,2,5,8,11,13,16,15,13,16,18,19,19,22,20,17,21,21,22,23,25,23,19
TR,Retail & recreation,7,6,4,0,-1,-4,0,7,3,3,1,-2,-3,-6,9,6,7,2,3,6,13,18,8,2,3,6,-2,-7,-15,-12,-26,-37,-41,-45,-52,-64,-51,-57,-58,-57,-59,-66,-75,-57,-61,-61,-62,-62,-70,-76
TR,Transit stations,2,5,4,0,0,-3,-4,3,3,4,3,3,-0,-10,3,7,6,4,4,4,9,12,8,1,3,6,2,-4,-16,-14,-22,-33,-38,-41,-46,-55,-48,-54,-55,-55,-57,-63,-71,-58,-61,-62,-64,-64,-70,-76
TR,Workplaces,5,8,8,9,10,7,8,7,9,9,10,11,8,7,7,10,10,11,12,9,10,8,10,10,11,12,6,4,1,-12,-19,-23,-25,-30,-26,-35,-37,-42,-43,-43,-45,-40,-45,-47,-49,-49,-50,-50,-46,-48
US,Grocery & pharmacy,1,0,-1,-0,-0,-2,3,3,1,1,2,3,3,7,9,6,10,6,7,3,8,7,6,7,10,23,26,18,12,21,14,8,7,5,-2,-13,-10,-12,-15,-14,-16,-19,-22,-18,-16,-11,-11,-12,-15,-20
US,Parks,16,28,6,8,4,4,23,23,9,9,5,12,10,21,18,10,20,17,21,12,29,40,31,18,26,19,4,3,5,-1,8,6,2,-2,-3,-12,-23,-10,-7,3,-7,-25,-19,-15,-16,-7,-9,-21,-24,-20
US,Residential,-1,5,1,0,1,0,-1,-1,0,-0,-1,-0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,3,8,11,13,15,16,12,11,17,19,19,20,21,15,12,19,20,20,21,22,15,13
US,Retail & recreation,7,6,0,2,1,2,7,7,2,4,7,8,8,12,13,7,11,8,8,5,10,10,6,6,8,6,2,-6,-9,-8,-18,-24,-28,-32,-40,-44,-38,-39,-40,-40,-42,-48,-47,-40,-40,-37,-40,-42,-48,-49
US,Transit stations,2,-9,1,1,0,1,5,5,1,2,3,4,5,7,7,2,3,2,2,2,7,5,-1,-3,-2,-6,-10,-10,-13,-22,-26,-30,-36,-37,-36,-44,-47,-46,-47,-48,-49,-49,-51,-50,-49,-48,-51,-51,-50,-54
US,Workplaces,0,-24,-0,1,0,0,4,2,3,2,2,2,2,4,3,3,2,3,3,2,5,2,-0,-2,-1,-3,-7,-1,-7,-20,-27,-31,-33,-36,-24,-31,-41,-45,-46,-47,-46,-34,-38,-48,-49,-49,-50,-50,-37,-40
ZA,Grocery & pharmacy,-1,-10,-12,-12,-6,-6,-8,-6,-13,-1,-1,5,11,14,21,5,5,5,7,8,6,3,-7,-8,-8,-5,2,1,-0,1,-4,-4,-5,1,-6,-10,-4,18,34,59,-61,-60,-60,-51,-47,-42,-41,-42,-52,-51
ZA,Parks,-10,-10,-8,-7,-6,-4,-18,-21,-10,-5,-4,-6,-6,-8,-3,-7,-1,-1,-1,1,-3,-12,-11,-9,-7,-6,-5,-10,-18,-18,-16,-12,-10,-14,-21,-23,-15,-16,-13,-9,-47,-59,-55,-42,-40,-38,-38,-43,-57,-53
ZA,Residential,-0,1,1,1,-1,-3,0,3,1,-1,-1,-1,-2,-2,-1,1,-1,-0,0,-1,-0,2,1,-1,-2,-2,-4,-1,2,3,5,7,9,9,8,9,11,9,7,6,40,28,24,36,35,35,37,38,26,22
ZA,Retail & recreation,-3,-10,-12,-12,-5,-3,-4,-9,-11,-1,1,6,12,20,18,4,2,3,4,7,8,-1,-8,-9,-8,-6,1,2,-6,-10,-15,-14,-16,-14,-24,-31,-20,-7,9,16,-80,-80,-79,-73,-72,-70,-70,-72,-77,-76
ZA,Transit stations,-6,3,0,-2,1,4,-8,-12,-2,2,4,6,17,8,9,10,11,9,9,13,2,-5,1,0,-2,-4,-1,-8,-14,-11,-14,-16,-20,-19,-26,-36,-33,-28,-19,-26,-81,-79,-80,-79,-78,-77,-78,-78,-77,-78
ZA,Workplaces,-1,4,4,3,3,3,2,-1,5,5,5,5,4,5,7,7,9,8,8,8,6,3,6,5,4,3,3,4,2,2,-3,-8,-14,-15,-18,-11,-21,-22,-24,-32,-75,-58,-49,-74,-74,-73,-73,-73,-55,-44
