Place,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Argentina,-86,-61,-89,-80,-57,27
Australia,-45,-19,-35,-58,-33,13
Brazil,-71,-35,-70,-62,-34,17
Canada,-59,-35,-16,-66,-44,14
China,,,,,,
Egypt,-50,-24,-40,-52,-35,15
France,-88,-72,-82,-87,-56,18
Germany,-77,-51,-49,-68,-39,11
India,-77,-65,-57,-71,-47,22
Indonesia,-47,-27,-52,-54,-15,15
Italy,-94,-85,-90,-87,-63,24
Japan,-26,-7,-25,-41,-9,7
Kenya,-45,-33,-20,-39,-22,17
Mexico,-45,-19,-46,-47,-20,11
Nigeria,-39,-25,-24,-34,-11,15
Russia,,,,,,
Saudi Arabia,-54,-24,-49,-75,-45,23
South Africa,-79,-60,-55,-80,-49,24
South Korea,-19,11,51,-17,-12,6
Spain,-94,-76,-89,-88,-64,22
Turkey,-75,-39,-58,-71,-45,17
United States,-47,-22,-19,-51,-38,12
United Kingdom,-85,-46,-52,-75,-55,15